date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:49	2687/2687	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:45%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/settings/?C=D;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/settings/index30b5.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/settings/)
14:05:49	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2015:41:04%20GMT	https://depoaplus.com/jogjakarta/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-includes/fonts/dashicons7d4b.eot	(from https://depoaplus.com/jogjakarta/wp-includes/css/dashicons.min.css?ver=6.0.3)
14:05:49	56392/56392	---M--	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2015:41:04%20GMT	https://depoaplus.com/jogjakarta/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-includes/fonts/dashicons7d4b.ttf	(from https://depoaplus.com/jogjakarta/wp-includes/css/dashicons.min.css?ver=6.0.3)
14:05:49	179551/179551	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Jul%202022%2003:57:21%20GMT	https://depoaplus.com/jogjakarta/wp-content/uploads/2022/07/depo-aplus.png	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/uploads/2022/07/depo-aplus.png	(from https://depoaplus.com/jogjakarta/wp-content/uploads/elementor/css/post-1235.css?ver=1658386874)
14:05:49	47673/47673	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jul%202022%2004:04:32%20GMT	https://depoaplus.com/jogjakarta/wp-content/uploads/2022/07/2.png	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/uploads/2022/07/2.png	(from https://depoaplus.com/jogjakarta/wp-content/uploads/elementor/css/post-1235.css?ver=1658386874)
14:05:50	51750/51750	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jul%202022%2004:04:29%20GMT	https://depoaplus.com/jogjakarta/wp-content/uploads/2022/07/3.png	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/uploads/2022/07/3.png	(from https://depoaplus.com/jogjakarta/wp-content/uploads/elementor/css/post-1235.css?ver=1658386874)
14:05:50	602/602	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2008%20Jul%202022%2003:18:22%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/wpforms-lite/assets/images/times-solid-white.svg	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/wpforms-lite/assets/images/times-solid-white.svg	(from https://depoaplus.com/jogjakarta/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.7.5.1)
14:05:55	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:49%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=M;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/index72c9.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=M;O=A)
14:05:55	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:49%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=S;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/index5851.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=S;O=A)
14:05:55	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:49%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=N;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/indexb70a.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=N;O=D)
14:05:55	2689/2689	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:49%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=D;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/indexad3f.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/analytics/?C=D;O=A)
14:06:01	2683/2683	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:55%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=N;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/indexb70a.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=N;O=D)
14:06:01	2683/2683	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:55%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=M;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/index72c9.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=M;O=A)
14:06:01	2683/2683	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:55%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=S;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/index5851.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=S;O=A)
14:06:01	2683/2683	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:55%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=D;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/indexad3f.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/blocks/?C=D;O=A)
14:06:07	2679/2679	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:06:00%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/?C=N;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/indexb70a.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/?C=N;O=D)
14:06:07	2679/2679	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:06:01%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/?C=M;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/index72c9.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/divi/?C=M;O=A)
